N,k,steps,lam,metric,marginal_mean,marginal_sd,marginal_n,edlm_mean,edlm_sd,edlm_n,diff_mean,diff_sd,diff_se,diff_n
10,1,32,0.0,valid,1463.0,24.052026941611388,5,1470.8,27.13300573102803,5,-7.8,32.583738275403576,14.571890748972832,5
10,1,32,0.0,novel,470.6,16.37986568931504,5,454.0,20.724381776062707,5,16.6,19.743353311937668,8.829496021857647,5
10,1,32,0.0,hits@0.6,8.2,3.420526275297414,5,6.6,0.5477225575051661,5,1.6,3.361547262794322,1.5033296378372907,5
10,1,32,0.0,hits@0.65,0.4,0.5477225575051661,5,0.8,0.4472135954999579,5,-0.4,0.5477225575051661,0.24494897427831777,5
10,1,32,0.0,novel_qed_mean,0.45529165029560453,0.004280668806267546,5,0.4580681857680593,0.0030944517651081754,5,-0.002776535472454755,0.005680653188871204,0.002540465337383393,5
10,1,32,0.0,max,0.6442888733451754,0.008800874637759228,5,0.6663462943812773,0.01898868266693851,5,-0.02205742103610202,0.01959884686113421,0.008764870772420894,5
10,1,32,20.0,valid,1564.0,22.090722034374522,5,1564.6,19.15202339179858,5,-0.6,30.021658848238214,13.426093996393737,5
10,1,32,20.0,novel,489.2,25.252722625491298,5,472.0,15.732132722552274,5,17.2,19.018412131405714,8.505292469985967,5
10,1,32,20.0,hits@0.6,13.8,5.019960159204453,5,14.6,4.8270073544588685,5,-0.8,7.014271166700073,3.1368774282716245,5
10,1,32,20.0,hits@0.65,1.0,0.7071067811865476,5,1.2,1.3038404810405297,5,-0.2,1.3038404810405297,0.58309518948453,5
10,1,32,20.0,novel_qed_mean,0.47101702284327324,0.005064582671670883,5,0.4723157933519851,0.00317620246174338,5,-0.001298770508711844,0.0054177942009668596,0.002422911224293211,5
10,1,32,20.0,max,0.6613429008890114,0.013355345629966375,5,0.6583306027991501,0.012828666000909416,5,0.003012298089861187,0.017193507017912262,0.007689170092734302,5
10,1,32,200.0,valid,1561.2,22.509997778764884,5,1564.4,20.731618364228105,5,-3.2,32.76736181019156,14.654009690183777,5
10,1,32,200.0,novel,514.8,21.603240497666086,5,502.4,21.03092960380021,5,12.4,21.881499034572563,9.785703858180055,5
10,1,32,200.0,hits@0.6,18.4,3.5777087639996634,5,20.0,4.743416490252569,5,-1.6,7.26636084983398,3.2496153618543837,5
10,1,32,200.0,hits@0.65,2.2,0.8366600265340756,5,3.2,2.16794833886788,5,-1.0,2.5495097567963922,1.1401754250991378,5
10,1,32,200.0,novel_qed_mean,0.48204717279822884,0.003630338286538757,5,0.48344037961671027,0.002355518963944499,5,-0.0013932068184814405,0.0049851949371793654,0.0022294469521241707,5
