model,arm,mode,N,lam,valid,novel,prop,hits@0.5,hits@0.55,hits@0.6,hits@0.65,hits@0.7
MDLM,A,edlm,10,20.0,634,244,0.4729806450267979,79,24,9,0,0
MDLM,A,edlm,30,20.0,670,270,0.4780398840924093,88,38,14,0,0
MDLM,A,edlm,100,20.0,725,305,0.4829745991620112,126,49,13,0,0
MDLM,A,edlm,300,20.0,715,301,0.4812796972372816,102,50,9,2,0
MDLM,A,edlm,10,50.0,631,247,0.4744086657630896,87,31,10,0,0
MDLM,A,edlm,30,50.0,670,277,0.4869987594982014,108,50,15,1,0
MDLM,A,edlm,100,50.0,727,314,0.4953179347908078,149,63,19,1,0
MDLM,A,edlm,300,50.0,717,330,0.4946482152883839,145,66,23,2,0
MDLM,A,edlm,10,200.0,630,248,0.4787482131516059,92,36,10,0,0
MDLM,A,edlm,30,200.0,673,297,0.4889962176926904,122,57,17,2,0
MDLM,A,edlm,100,200.0,721,332,0.5010161741440714,168,73,24,3,0
MDLM,A,edlm,300,200.0,719,356,0.500960926984216,177,83,27,4,0
MDLM,A,edlm,10,1000.0,630,248,0.4798180486211708,92,36,11,0,0
MDLM,A,edlm,30,1000.0,675,302,0.4919339385439547,130,59,18,1,0
MDLM,A,edlm,100,1000.0,716,336,0.5029813792321786,174,81,31,3,0
MDLM,A,edlm,300,1000.0,713,358,0.5038137070858334,179,89,33,4,0
MDLM,A,edlm,10,5000.0,632,252,0.479801197789355,93,36,11,0,0
MDLM,A,edlm,30,5000.0,675,304,0.4932719585110873,135,61,18,1,0
MDLM,A,edlm,100,5000.0,715,335,0.5037401358649986,175,80,34,4,0
MDLM,A,edlm,300,5000.0,713,362,0.5043628111919127,180,89,31,5,0
MDLM,A,marginal,10,20.0,638,253,0.4669846921417501,74,28,7,0,0
MDLM,A,marginal,30,20.0,650,275,0.4699406744850992,90,35,8,2,0
MDLM,A,marginal,100,20.0,662,287,0.4778929492277178,92,38,10,2,0
MDLM,A,marginal,300,20.0,699,313,0.4779574956529252,109,45,12,0,0
