tag,sec
mdlm_ov1_ex_N100_lam1000_s1,68
mdlm_ov1_ex_N100_lam1000_s1_edlm,69
mdlm_ov1_ex_N100_lam200_s1,68
mdlm_ov1_ex_N100_lam200_s1_edlm,68
mdlm_ov1_ex_N100_lam20_s1,67
mdlm_ov1_ex_N100_lam20_s1_edlm,66
mdlm_ov1_ex_N100_lam5000_s1,71
mdlm_ov1_ex_N100_lam5000_s1_edlm,70
mdlm_ov1_ex_N100_lam50_s1,66
mdlm_ov1_ex_N100_lam50_s1_edlm,67
mdlm_ov1_ex_N10_lam1000_s1,44
mdlm_ov1_ex_N10_lam1000_s1_edlm,46
mdlm_ov1_ex_N10_lam5000_s1,46
mdlm_ov1_ex_N10_lam5000_s1_edlm,46
mdlm_ov1_ex_N300_lam1000_s1,119
mdlm_ov1_ex_N300_lam1000_s1_edlm,120
mdlm_ov1_ex_N300_lam200_s1,118
mdlm_ov1_ex_N300_lam200_s1_edlm,118
mdlm_ov1_ex_N300_lam20_s1,123
mdlm_ov1_ex_N300_lam20_s1_edlm,120
mdlm_ov1_ex_N300_lam5000_s1,126
mdlm_ov1_ex_N300_lam5000_s1_edlm,124
mdlm_ov1_ex_N300_lam50_s1,126
mdlm_ov1_ex_N300_lam50_s1_edlm,118
mdlm_ov1_ex_N30_lam1000_s1,50
mdlm_ov1_ex_N30_lam1000_s1_edlm,49
mdlm_ov1_ex_N30_lam200_s1,51
mdlm_ov1_ex_N30_lam200_s1_edlm,49
mdlm_ov1_ex_N30_lam20_s1,50
mdlm_ov1_ex_N30_lam20_s1_edlm,49
mdlm_ov1_ex_N30_lam5000_s1,50
mdlm_ov1_ex_N30_lam5000_s1_edlm,50
mdlm_ov1_ex_N30_lam50_s1,50
mdlm_ov1_ex_N30_lam50_s1_edlm,50
mdlm_ov1_N100_lam5000_s1,69
mdlm_ov1_N100_lam5000_s1_edlm,69
mdlm_ov1_N100_lam5000_s1_edlm_noeu,92
mdlm_ov1_N100_lam5000_s1_noeu,94
mdlm_ov1_N10_lam5000_s1,45
mdlm_ov1_N10_lam5000_s1_edlm,46
mdlm_ov1_N10_lam5000_s1_edlm_noeu,49
mdlm_ov1_N10_lam5000_s1_noeu,92
mdlm_ov1_N300_lam5000_s1,123
mdlm_ov1_N300_lam5000_s1_edlm,116
mdlm_ov1_N300_lam5000_s1_edlm_noeu,634
mdlm_ov1_N300_lam5000_s1_noeu,585
mdlm_ov1_N30_lam5000_s1,50
mdlm_ov1_N30_lam5000_s1_edlm,51
mdlm_ov1_N30_lam5000_s1_edlm_noeu,53
mdlm_ov1_N30_lam5000_s1_noeu,66
mdlm_ov5_ex_N100_lam1000_s1,339
mdlm_ov5_ex_N100_lam1000_s1_edlm,599
mdlm_ov5_ex_N100_lam200_s1,489
mdlm_ov5_ex_N100_lam200_s1_edlm,200
mdlm_ov5_ex_N100_lam20_s1,176
mdlm_ov5_ex_N100_lam20_s1_edlm,346
mdlm_ov5_ex_N100_lam5000_s1,267
mdlm_ov5_ex_N100_lam5000_s1_edlm,229
mdlm_ov5_ex_N100_lam50_s1,378
mdlm_ov5_ex_N100_lam50_s1_edlm,179
mdlm_ov5_ex_N10_lam1000_s1,59
mdlm_ov5_ex_N10_lam1000_s1_edlm,57
mdlm_ov5_ex_N10_lam200_s1,58
mdlm_ov5_ex_N10_lam200_s1_edlm,59
mdlm_ov5_ex_N10_lam20_s1,57
mdlm_ov5_ex_N10_lam20_s1_edlm,57
mdlm_ov5_ex_N10_lam5000_s1,57
mdlm_ov5_ex_N10_lam5000_s1_edlm,60
mdlm_ov5_ex_N10_lam50_s1,58
mdlm_ov5_ex_N10_lam50_s1_edlm,59
mdlm_ov5_ex_N300_lam1000_s1,896
mdlm_ov5_ex_N300_lam1000_s1_edlm,1049
mdlm_ov5_ex_N300_lam200_s1,772
mdlm_ov5_ex_N300_lam200_s1_edlm,974
mdlm_ov5_ex_N300_lam20_s1,900
mdlm_ov5_ex_N300_lam20_s1_edlm,715
mdlm_ov5_ex_N300_lam5000_s1,968
mdlm_ov5_ex_N300_lam5000_s1_edlm,748
mdlm_ov5_ex_N300_lam50_s1,822
mdlm_ov5_ex_N300_lam50_s1_edlm,1225
mdlm_ov5_ex_N30_lam1000_s1,82
mdlm_ov5_ex_N30_lam1000_s1_edlm,82
mdlm_ov5_ex_N30_lam200_s1,82
mdlm_ov5_ex_N30_lam200_s1_edlm,85
mdlm_ov5_ex_N30_lam20_s1,84
mdlm_ov5_ex_N30_lam20_s1_edlm,81
mdlm_ov5_ex_N30_lam5000_s1,82
mdlm_ov5_ex_N30_lam5000_s1_edlm,83
mdlm_ov5_ex_N30_lam50_s1,82
mdlm_ov5_ex_N30_lam50_s1_edlm,84
s1024_ov1_ex_N100_lam1000_s1,75
s1024_ov1_ex_N100_lam1000_s1_edlm,76
s1024_ov1_ex_N100_lam200_s1,75
s1024_ov1_ex_N100_lam200_s1_edlm,80
s1024_ov1_ex_N100_lam20_s1,77
s1024_ov1_ex_N100_lam20_s1_edlm,77
s1024_ov1_ex_N100_lam5000_s1,78
s1024_ov1_ex_N100_lam5000_s1_edlm,77
s1024_ov1_ex_N100_lam50_s1,76
s1024_ov1_ex_N100_lam50_s1_edlm,76
s1024_ov1_ex_N10_lam1000_s1,51
s1024_ov1_ex_N10_lam1000_s1_edlm,50
s1024_ov1_ex_N10_lam200_s1_edlm,53
s1024_ov1_ex_N10_lam5000_s1,52
s1024_ov1_ex_N10_lam5000_s1_edlm,52
s1024_ov1_ex_N300_lam1000_s1,142
s1024_ov1_ex_N300_lam1000_s1_edlm,140
s1024_ov1_ex_N300_lam200_s1,147
s1024_ov1_ex_N300_lam200_s1_edlm,138
s1024_ov1_ex_N300_lam20_s1,140
s1024_ov1_ex_N300_lam20_s1_edlm,146
s1024_ov1_ex_N300_lam5000_s1,143
s1024_ov1_ex_N300_lam5000_s1_edlm,143
s1024_ov1_ex_N300_lam50_s1,146
s1024_ov1_ex_N300_lam50_s1_edlm,141
s1024_ov1_ex_N30_lam1000_s1,56
s1024_ov1_ex_N30_lam1000_s1_edlm,55
s1024_ov1_ex_N30_lam200_s1,55
s1024_ov1_ex_N30_lam200_s1_edlm,56
s1024_ov1_ex_N30_lam20_s1,56
s1024_ov1_ex_N30_lam20_s1_edlm,56
s1024_ov1_ex_N30_lam5000_s1,58
s1024_ov1_ex_N30_lam5000_s1_edlm,57
s1024_ov1_ex_N30_lam50_s1,58
s1024_ov1_ex_N30_lam50_s1_edlm,55
s1024_ov1_N100_lam5000_s1,76
s1024_ov1_N100_lam5000_s1_edlm,76
s1024_ov1_N100_lam5000_s1_edlm_noeu,113
s1024_ov1_N100_lam5000_s1_noeu,108
s1024_ov1_N10_lam5000_s1,51
s1024_ov1_N10_lam5000_s1_edlm,52
s1024_ov1_N10_lam5000_s1_edlm_noeu,53
s1024_ov1_N10_lam5000_s1_noeu,94
s1024_ov1_N300_lam5000_s1,144
s1024_ov1_N300_lam5000_s1_edlm,142
s1024_ov1_N300_lam5000_s1_edlm_noeu,571
s1024_ov1_N300_lam5000_s1_noeu,879
s1024_ov1_N30_lam5000_s1,57
s1024_ov1_N30_lam5000_s1_edlm,55
s1024_ov1_N30_lam5000_s1_edlm_noeu,58
s1024_ov1_N30_lam5000_s1_noeu,68
s1024_ov5_ex_N100_lam1000_s1,507
s1024_ov5_ex_N100_lam1000_s1_edlm,216
s1024_ov5_ex_N100_lam200_s1,284
s1024_ov5_ex_N100_lam200_s1_edlm,363
s1024_ov5_ex_N100_lam20_s1,419
s1024_ov5_ex_N100_lam20_s1_edlm,305
s1024_ov5_ex_N100_lam5000_s1,439
s1024_ov5_ex_N100_lam5000_s1_edlm,203
s1024_ov5_ex_N100_lam50_s1,365
s1024_ov5_ex_N100_lam50_s1_edlm,612
s1024_ov5_ex_N10_lam1000_s1,64
s1024_ov5_ex_N10_lam1000_s1_edlm,65
s1024_ov5_ex_N10_lam200_s1,65
s1024_ov5_ex_N10_lam200_s1_edlm,65
s1024_ov5_ex_N10_lam20_s1,65
s1024_ov5_ex_N10_lam20_s1_edlm,65
s1024_ov5_ex_N10_lam5000_s1,64
s1024_ov5_ex_N10_lam5000_s1_edlm,64
s1024_ov5_ex_N10_lam50_s1,64
s1024_ov5_ex_N10_lam50_s1_edlm,64
s1024_ov5_ex_N300_lam1000_s1,937
s1024_ov5_ex_N300_lam1000_s1_edlm,831
s1024_ov5_ex_N300_lam200_s1,1097
s1024_ov5_ex_N300_lam200_s1_edlm,709
s1024_ov5_ex_N300_lam20_s1,906
s1024_ov5_ex_N300_lam20_s1_edlm,1321
s1024_ov5_ex_N300_lam5000_s1,520
s1024_ov5_ex_N300_lam5000_s1_edlm,514
s1024_ov5_ex_N300_lam50_s1,1034
s1024_ov5_ex_N300_lam50_s1_edlm,1109
s1024_ov5_ex_N30_lam1000_s1,243
s1024_ov5_ex_N30_lam1000_s1_edlm,236
s1024_ov5_ex_N30_lam200_s1,89
s1024_ov5_ex_N30_lam200_s1_edlm,152
s1024_ov5_ex_N30_lam20_s1,88
s1024_ov5_ex_N30_lam20_s1_edlm,91
s1024_ov5_ex_N30_lam5000_s1,88
s1024_ov5_ex_N30_lam5000_s1_edlm,91
