prop,tag,steps,ess_min,ess_median,ess_last
qed,mdlm_ours_edlm_N1000_lam0_win0.0-1.0,1024,1.000,1.000,1.000
qed,mdlm_ours_edlm_N1000_lam1000_win0.0-1.0,1024,107.000,387.000,955.000
qed,mdlm_ours_edlm_N1000_lam200_win0.0-1.0,1024,1.000,406.000,953.000
qed,mdlm_ours_edlm_N1000_lam20_win0.0-1.0,1024,1.000,529.000,982.000
qed,mdlm_ours_edlm_N1000_lam2_win0.0-1.0,1024,1.000,954.000,999.000
qed,mdlm_ours_edlm_N1000_lam50_win0.0-1.0,1024,1.000,456.000,955.000
qed,mdlm_ours_edlm_N1000_lam5_win0.0-1.0,1024,1.000,760.500,987.000
qed,mdlm_ours_edlm_N100_lam0_win0.0-1.0,763,100.000,100.000,100.000
qed,mdlm_ours_edlm_N100_lam1000_win0.0-1.0,765,19.500,50.200,95.600
qed,mdlm_ours_edlm_N100_lam200_win0.0-1.0,768,20.000,51.100,95.800
qed,mdlm_ours_edlm_N100_lam20_win0.0-1.0,762,27.300,62.500,97.200
qed,mdlm_ours_edlm_N100_lam2_win0.0-1.0,760,90.500,95.800,100.000
qed,mdlm_ours_edlm_N100_lam50_win0.0-1.0,767,20.800,55.800,95.900
qed,mdlm_ours_edlm_N100_lam5_win0.0-1.0,762,54.200,80.000,100.000
qed,mdlm_ours_edlm_N10_lam0_win0.0-1.0,719,10.000,10.000,10.000
qed,mdlm_ours_edlm_N10_lam1000_win0.0-1.0,682,4.860,7.310,9.750
qed,mdlm_ours_edlm_N10_lam200_win0.0-1.0,677,5.000,7.450,9.660
qed,mdlm_ours_edlm_N10_lam20_win0.0-1.0,687,5.970,8.210,9.920
qed,mdlm_ours_edlm_N10_lam2_win0.0-1.0,710,9.290,9.685,10.000
qed,mdlm_ours_edlm_N10_lam50_win0.0-1.0,687,5.510,7.800,9.830
qed,mdlm_ours_edlm_N10_lam5_win0.0-1.0,689,7.390,8.850,10.000
qed,mdlm_ours_edlm_N2000_lam0_win0.0-1.0,1024,2.000,2.000,2.000
qed,mdlm_ours_edlm_N2000_lam1000_win0.0-1.0,1024,1.100,649.500,1.900
qed,mdlm_ours_edlm_N2000_lam200_win0.0-1.0,1024,1.100,687.000,1881.860
qed,mdlm_ours_edlm_N2000_lam20_win0.0-1.0,1024,1.100,932.000,1973.460
qed,mdlm_ours_edlm_N2000_lam2_win0.0-1.0,1024,1.900,1893.185,1993.900
qed,mdlm_ours_edlm_N2000_lam50_win0.0-1.0,1024,1.000,773.000,1980.940
