######## fewstep: mdlm x qed | k=[16 32] N=[300 100 30 10 1000]
######## lambda=[20] seeds=[1 2 3 4 5] on GPU 1 at 2026. 08. 26. (수) 10:11:52 KST
=============== N=300 ===============
  mdlm_fs_k16_N300_lam20_marginal_s1                 35s  ESS=282
  mdlm_fs_k16_N300_lam20_edlm_s1                     33s  ESS=295
  mdlm_fs_k16_N300_lam20_marginal_s2                 33s  ESS=295
  mdlm_fs_k16_N300_lam20_edlm_s2                     35s  ESS=281
  mdlm_fs_k16_N300_lam20_marginal_s3                 33s  ESS=281
  mdlm_fs_k16_N300_lam20_edlm_s3                     33s  ESS=295
  mdlm_fs_k16_N300_lam20_marginal_s4                 33s  ESS=281
  mdlm_fs_k16_N300_lam20_edlm_s4                     33s  ESS=281
  mdlm_fs_k16_N300_lam20_marginal_s5                 33s  ESS=286
  mdlm_fs_k16_N300_lam20_edlm_s5                     34s  ESS=300
  mdlm_fs_k32_N300_lam20_marginal_s1                 25s  ESS=286
  mdlm_fs_k32_N300_lam20_edlm_s1                     26s  ESS=291
  mdlm_fs_k32_N300_lam20_marginal_s2                 27s  ESS=277
  mdlm_fs_k32_N300_lam20_edlm_s2                     26s  ESS=295
  mdlm_fs_k32_N300_lam20_marginal_s3                 25s  ESS=295
  mdlm_fs_k32_N300_lam20_edlm_s3                     26s  ESS=291
  mdlm_fs_k32_N300_lam20_marginal_s4                 26s  ESS=295
  mdlm_fs_k32_N300_lam20_edlm_s4                     25s  ESS=295
  mdlm_fs_k32_N300_lam20_marginal_s5                 26s  ESS=291
  mdlm_fs_k32_N300_lam20_edlm_s5                     27s  ESS=281
=============== N=100 ===============
  mdlm_fs_k16_N100_lam20_marginal_s1                 25s  ESS=96.9
  mdlm_fs_k16_N100_lam20_edlm_s1                     26s  ESS=95.4
  mdlm_fs_k16_N100_lam20_marginal_s2                 25s  ESS=92.7
  mdlm_fs_k16_N100_lam20_edlm_s2                     26s  ESS=96.9
  mdlm_fs_k16_N100_lam20_marginal_s3                 25s  ESS=98.5
  mdlm_fs_k16_N100_lam20_edlm_s3                     25s  ESS=96.9
  mdlm_fs_k16_N100_lam20_marginal_s4                 25s  ESS=97.1
  mdlm_fs_k16_N100_lam20_edlm_s4                     26s  ESS=96.9
  mdlm_fs_k16_N100_lam20_marginal_s5                 26s  ESS=98.5
  mdlm_fs_k16_N100_lam20_edlm_s5                     26s  ESS=95.4
  mdlm_fs_k32_N100_lam20_marginal_s1                 22s  ESS=98.5
  mdlm_fs_k32_N100_lam20_edlm_s1                     22s  ESS=98.5
  mdlm_fs_k32_N100_lam20_marginal_s2                 21s  ESS=100
  mdlm_fs_k32_N100_lam20_edlm_s2                     21s  ESS=96.9
  mdlm_fs_k32_N100_lam20_marginal_s3                 21s  ESS=100
  mdlm_fs_k32_N100_lam20_edlm_s3                     23s  ESS=98.5
  mdlm_fs_k32_N100_lam20_marginal_s4                 21s  ESS=100
  mdlm_fs_k32_N100_lam20_edlm_s4                     21s  ESS=96.9
  mdlm_fs_k32_N100_lam20_marginal_s5                 21s  ESS=100
  mdlm_fs_k32_N100_lam20_edlm_s5                     22s  ESS=98.5
=============== N=30 ===============
  mdlm_fs_k16_N30_lam20_marginal_s1                  22s  ESS=29.6
  mdlm_fs_k16_N30_lam20_edlm_s1                      24s  ESS=29.1
  mdlm_fs_k16_N30_lam20_marginal_s2                  22s  ESS=29.1
  mdlm_fs_k16_N30_lam20_edlm_s2                      19s  ESS=29.6
  mdlm_fs_k16_N30_lam20_marginal_s3                  23s  ESS=29.1
  mdlm_fs_k16_N30_lam20_edlm_s3                      23s  ESS=29.6
  mdlm_fs_k16_N30_lam20_marginal_s4                  23s  ESS=29.6
  mdlm_fs_k16_N30_lam20_edlm_s4                      23s  ESS=30
  mdlm_fs_k16_N30_lam20_marginal_s5                  23s  ESS=29.6
  mdlm_fs_k16_N30_lam20_edlm_s5                      22s  ESS=30
  mdlm_fs_k32_N30_lam20_marginal_s1                  22s  ESS=30
  mdlm_fs_k32_N30_lam20_edlm_s1                      22s  ESS=30
  mdlm_fs_k32_N30_lam20_marginal_s2                  20s  ESS=29.6
  mdlm_fs_k32_N30_lam20_edlm_s2                      21s  ESS=30
  mdlm_fs_k32_N30_lam20_marginal_s3                  20s  ESS=30
  mdlm_fs_k32_N30_lam20_edlm_s3                      21s  ESS=30
  mdlm_fs_k32_N30_lam20_marginal_s4                  19s  ESS=30
  mdlm_fs_k32_N30_lam20_edlm_s4                      17s  ESS=30
  mdlm_fs_k32_N30_lam20_marginal_s5                  20s  ESS=30
  mdlm_fs_k32_N30_lam20_edlm_s5                      21s  ESS=30
=============== N=10 ===============
  mdlm_fs_k16_N10_lam20_marginal_s1                  22s  ESS=9.86
  mdlm_fs_k16_N10_lam20_edlm_s1                      23s  ESS=9.92
  mdlm_fs_k16_N10_lam20_marginal_s2                  22s  ESS=10
  mdlm_fs_k16_N10_lam20_edlm_s2                      23s  ESS=9.86
  mdlm_fs_k16_N10_lam20_marginal_s3                  23s  ESS=9.72
  mdlm_fs_k16_N10_lam20_edlm_s3                      22s  ESS=9.86
  mdlm_fs_k16_N10_lam20_marginal_s4                  23s  ESS=9.88
  mdlm_fs_k16_N10_lam20_edlm_s4                      24s  ESS=9.86
  mdlm_fs_k16_N10_lam20_marginal_s5                  24s  ESS=9.86
  mdlm_fs_k16_N10_lam20_edlm_s5                      21s  ESS=9.72
  mdlm_fs_k32_N10_lam20_marginal_s1                  18s  ESS=10
  mdlm_fs_k32_N10_lam20_edlm_s1                      18s  ESS=10
  mdlm_fs_k32_N10_lam20_marginal_s2                  19s  ESS=10
  mdlm_fs_k32_N10_lam20_edlm_s2                      20s  ESS=10
  mdlm_fs_k32_N10_lam20_marginal_s3                  20s  ESS=10
  mdlm_fs_k32_N10_lam20_edlm_s3                      20s  ESS=10
  mdlm_fs_k32_N10_lam20_marginal_s4                  20s  ESS=10
  mdlm_fs_k32_N10_lam20_edlm_s4                      20s  ESS=10
  mdlm_fs_k32_N10_lam20_marginal_s5                  19s  ESS=10
  mdlm_fs_k32_N10_lam20_edlm_s5                      20s  ESS=10
=============== N=1000 ===============
  mdlm_fs_k16_N1000_lam20_marginal_s1                56s  ESS=880
  mdlm_fs_k16_N1000_lam20_edlm_s1                    56s  ESS=875
  mdlm_fs_k16_N1000_lam20_marginal_s2                55s  ESS=894
  mdlm_fs_k16_N1000_lam20_edlm_s2                    54s  ESS=829
  mdlm_fs_k16_N1000_lam20_marginal_s3                56s  ESS=844
  mdlm_fs_k16_N1000_lam20_edlm_s3                    57s  ESS=892
  mdlm_fs_k16_N1000_lam20_marginal_s4                55s  ESS=861
  mdlm_fs_k16_N1000_lam20_edlm_s4                    56s  ESS=907
  mdlm_fs_k16_N1000_lam20_marginal_s5                56s  ESS=735
  mdlm_fs_k16_N1000_lam20_edlm_s5                    54s  ESS=845
  mdlm_fs_k32_N1000_lam20_marginal_s1                37s  ESS=860
  mdlm_fs_k32_N1000_lam20_edlm_s1                    34s  ESS=906
  mdlm_fs_k32_N1000_lam20_marginal_s2                36s  ESS=875
  mdlm_fs_k32_N1000_lam20_edlm_s2                    36s  ESS=844
  mdlm_fs_k32_N1000_lam20_marginal_s3                35s  ESS=860
  mdlm_fs_k32_N1000_lam20_edlm_s3                    36s  ESS=891
  mdlm_fs_k32_N1000_lam20_marginal_s4                36s  ESS=875
  mdlm_fs_k32_N1000_lam20_edlm_s4                    36s  ESS=829
  mdlm_fs_k32_N1000_lam20_marginal_s5                35s  ESS=891
  mdlm_fs_k32_N1000_lam20_edlm_s5                    35s  ESS=860
######## Done at 2026. 08. 26. (수) 10:58:55 KST: 1240 csv
