######## fewstep: mdlm x qed | k=[1 2 4 8] N=[300 30 10 100 1000]
######## lambda=[200] seeds=[1 2 3 4 5] on GPU 2 at 2026. 08. 26. (수) 00:15:43 KST
=============== N=300 ===============
  mdlm_fs_k1_N300_lam200_marginal_s1                253s  ESS=287
  mdlm_fs_k1_N300_lam200_edlm_s1                    245s  ESS=287
  mdlm_fs_k1_N300_lam200_marginal_s2                246s  ESS=285
  mdlm_fs_k1_N300_lam200_edlm_s2                    249s  ESS=290
  mdlm_fs_k1_N300_lam200_marginal_s3                250s  ESS=283
  mdlm_fs_k1_N300_lam200_edlm_s3                    243s  ESS=285
  mdlm_fs_k1_N300_lam200_marginal_s4                250s  ESS=293
  mdlm_fs_k1_N300_lam200_edlm_s4                    248s  ESS=296
  mdlm_fs_k1_N300_lam200_marginal_s5                248s  ESS=284
  mdlm_fs_k1_N300_lam200_edlm_s5                    255s  ESS=292
  mdlm_fs_k2_N300_lam200_marginal_s1                134s  ESS=277
  mdlm_fs_k2_N300_lam200_edlm_s1                    130s  ESS=276
  mdlm_fs_k2_N300_lam200_marginal_s2                131s  ESS=275
  mdlm_fs_k2_N300_lam200_edlm_s2                    131s  ESS=277
  mdlm_fs_k2_N300_lam200_marginal_s3                134s  ESS=287
  mdlm_fs_k2_N300_lam200_edlm_s3                    135s  ESS=282
  mdlm_fs_k2_N300_lam200_marginal_s4                134s  ESS=282
  mdlm_fs_k2_N300_lam200_edlm_s4                    136s  ESS=275
  mdlm_fs_k2_N300_lam200_marginal_s5                130s  ESS=282
  mdlm_fs_k2_N300_lam200_edlm_s5                    132s  ESS=287
  mdlm_fs_k4_N300_lam200_marginal_s1                 74s  ESS=241
  mdlm_fs_k4_N300_lam200_edlm_s1                     72s  ESS=266
  mdlm_fs_k4_N300_lam200_marginal_s2                 75s  ESS=279
  mdlm_fs_k4_N300_lam200_edlm_s2                     74s  ESS=253
  mdlm_fs_k4_N300_lam200_marginal_s3                 75s  ESS=266
  mdlm_fs_k4_N300_lam200_edlm_s3                     76s  ESS=268
  mdlm_fs_k4_N300_lam200_marginal_s4                 77s  ESS=268
  mdlm_fs_k4_N300_lam200_edlm_s4                     74s  ESS=253
  mdlm_fs_k4_N300_lam200_marginal_s5                 73s  ESS=275
  mdlm_fs_k4_N300_lam200_edlm_s5                     75s  ESS=274
  mdlm_fs_k8_N300_lam200_marginal_s1                 47s  ESS=258
  mdlm_fs_k8_N300_lam200_edlm_s1                     48s  ESS=265
  mdlm_fs_k8_N300_lam200_marginal_s2                 47s  ESS=271
  mdlm_fs_k8_N300_lam200_edlm_s2                     45s  ESS=253
  mdlm_fs_k8_N300_lam200_marginal_s3                 47s  ESS=261
  mdlm_fs_k8_N300_lam200_edlm_s3                     46s  ESS=261
  mdlm_fs_k8_N300_lam200_marginal_s4                 45s  ESS=263
  mdlm_fs_k8_N300_lam200_edlm_s4                     48s  ESS=258
  mdlm_fs_k8_N300_lam200_marginal_s5                 47s  ESS=278
  mdlm_fs_k8_N300_lam200_edlm_s5                     45s  ESS=234
=============== N=30 ===============
  mdlm_fs_k1_N30_lam200_marginal_s1                  84s  ESS=29.3
  mdlm_fs_k1_N30_lam200_edlm_s1                      83s  ESS=29.2
  mdlm_fs_k1_N30_lam200_marginal_s2                  83s  ESS=29
  mdlm_fs_k1_N30_lam200_edlm_s2                      82s  ESS=29.8
  mdlm_fs_k1_N30_lam200_marginal_s3                  84s  ESS=29.6
  mdlm_fs_k1_N30_lam200_edlm_s3                      83s  ESS=29
  mdlm_fs_k1_N30_lam200_marginal_s4                  84s  ESS=29.3
  mdlm_fs_k1_N30_lam200_edlm_s4                      82s  ESS=29.7
  mdlm_fs_k1_N30_lam200_marginal_s5                  82s  ESS=28.9
  mdlm_fs_k1_N30_lam200_edlm_s5                      85s  ESS=27.3
  mdlm_fs_k2_N30_lam200_marginal_s1                  52s  ESS=27.9
  mdlm_fs_k2_N30_lam200_edlm_s1                      51s  ESS=28.8
  mdlm_fs_k2_N30_lam200_marginal_s2                  51s  ESS=29.5
  mdlm_fs_k2_N30_lam200_edlm_s2                      51s  ESS=28.4
  mdlm_fs_k2_N30_lam200_marginal_s3                  50s  ESS=28
  mdlm_fs_k2_N30_lam200_edlm_s3                      51s  ESS=27.9
  mdlm_fs_k2_N30_lam200_marginal_s4                  51s  ESS=29
  mdlm_fs_k2_N30_lam200_edlm_s4                      51s  ESS=27.5
  mdlm_fs_k2_N30_lam200_marginal_s5                  51s  ESS=29.7
  mdlm_fs_k2_N30_lam200_edlm_s5                      52s  ESS=29
  mdlm_fs_k4_N30_lam200_marginal_s1                  35s  ESS=28.1
  mdlm_fs_k4_N30_lam200_edlm_s1                      35s  ESS=28
  mdlm_fs_k4_N30_lam200_marginal_s2                  35s  ESS=27.4
  mdlm_fs_k4_N30_lam200_edlm_s2                      36s  ESS=27.6
  mdlm_fs_k4_N30_lam200_marginal_s3                  35s  ESS=27.3
  mdlm_fs_k4_N30_lam200_edlm_s3                      34s  ESS=28
  mdlm_fs_k4_N30_lam200_marginal_s4                  35s  ESS=29.2
  mdlm_fs_k4_N30_lam200_edlm_s4                      35s  ESS=28
  mdlm_fs_k4_N30_lam200_marginal_s5                  36s  ESS=26.7
  mdlm_fs_k4_N30_lam200_edlm_s5                      35s  ESS=29.1
  mdlm_fs_k8_N30_lam200_marginal_s1                  27s  ESS=28.7
  mdlm_fs_k8_N30_lam200_edlm_s1                      27s  ESS=28.3
  mdlm_fs_k8_N30_lam200_marginal_s2                  27s  ESS=27.2
  mdlm_fs_k8_N30_lam200_edlm_s2                      26s  ESS=29.5
  mdlm_fs_k8_N30_lam200_marginal_s3                  28s  ESS=27.4
  mdlm_fs_k8_N30_lam200_edlm_s3                      27s  ESS=28.2
  mdlm_fs_k8_N30_lam200_marginal_s4                  27s  ESS=27
  mdlm_fs_k8_N30_lam200_edlm_s4                      27s  ESS=26.9
  mdlm_fs_k8_N30_lam200_marginal_s5                  28s  ESS=27.3
  mdlm_fs_k8_N30_lam200_edlm_s5                      27s  ESS=27.1
=============== N=10 ===============
  mdlm_fs_k1_N10_lam200_marginal_s1                  75s  ESS=9.53
  mdlm_fs_k1_N10_lam200_edlm_s1                      75s  ESS=9.67
  mdlm_fs_k1_N10_lam200_marginal_s2                  76s  ESS=9.85
  mdlm_fs_k1_N10_lam200_edlm_s2                      75s  ESS=9.9
  mdlm_fs_k1_N10_lam200_marginal_s3                  75s  ESS=9.73
  mdlm_fs_k1_N10_lam200_edlm_s3                      75s  ESS=9.4
  mdlm_fs_k1_N10_lam200_marginal_s4                  75s  ESS=9.6
  mdlm_fs_k1_N10_lam200_edlm_s4                      77s  ESS=9.96
  mdlm_fs_k1_N10_lam200_marginal_s5                  75s  ESS=9.61
  mdlm_fs_k1_N10_lam200_edlm_s5                      76s  ESS=9.75
  mdlm_fs_k2_N10_lam200_marginal_s1                  47s  ESS=9.96
  mdlm_fs_k2_N10_lam200_edlm_s1                      47s  ESS=9.63
  mdlm_fs_k2_N10_lam200_marginal_s2                  47s  ESS=9.47
  mdlm_fs_k2_N10_lam200_edlm_s2                      46s  ESS=9.46
  mdlm_fs_k2_N10_lam200_marginal_s3                  47s  ESS=9.07
  mdlm_fs_k2_N10_lam200_edlm_s3                      47s  ESS=9.27
  mdlm_fs_k2_N10_lam200_marginal_s4                  49s  ESS=9.7
  mdlm_fs_k2_N10_lam200_edlm_s4                      47s  ESS=9.37
  mdlm_fs_k2_N10_lam200_marginal_s5                  48s  ESS=9.42
  mdlm_fs_k2_N10_lam200_edlm_s5                      47s  ESS=10
  mdlm_fs_k4_N10_lam200_marginal_s1                  33s  ESS=9.74
  mdlm_fs_k4_N10_lam200_edlm_s1                      33s  ESS=9.23
  mdlm_fs_k4_N10_lam200_marginal_s2                  33s  ESS=9.39
  mdlm_fs_k4_N10_lam200_edlm_s2                      34s  ESS=9.39
  mdlm_fs_k4_N10_lam200_marginal_s3                  33s  ESS=9.42
  mdlm_fs_k4_N10_lam200_edlm_s3                      33s  ESS=9.52
  mdlm_fs_k4_N10_lam200_marginal_s4                  32s  ESS=9.53
  mdlm_fs_k4_N10_lam200_edlm_s4                      33s  ESS=9.38
  mdlm_fs_k4_N10_lam200_marginal_s5                  33s  ESS=9.68
  mdlm_fs_k4_N10_lam200_edlm_s5                      33s  ESS=9.52
  mdlm_fs_k8_N10_lam200_marginal_s1                  26s  ESS=10
  mdlm_fs_k8_N10_lam200_edlm_s1                      26s  ESS=9.6
  mdlm_fs_k8_N10_lam200_marginal_s2                  27s  ESS=9.72
  mdlm_fs_k8_N10_lam200_edlm_s2                      27s  ESS=9.59
  mdlm_fs_k8_N10_lam200_marginal_s3                  26s  ESS=9.94
  mdlm_fs_k8_N10_lam200_edlm_s3                      26s  ESS=9.87
  mdlm_fs_k8_N10_lam200_marginal_s4                  26s  ESS=9.45
  mdlm_fs_k8_N10_lam200_edlm_s4                      27s  ESS=9.39
  mdlm_fs_k8_N10_lam200_marginal_s5                  26s  ESS=9.53
  mdlm_fs_k8_N10_lam200_edlm_s5                      27s  ESS=9.45
=============== N=100 ===============
  mdlm_fs_k1_N100_lam200_marginal_s1                125s  ESS=97.5
  mdlm_fs_k1_N100_lam200_edlm_s1                    124s  ESS=96.2
  mdlm_fs_k1_N100_lam200_marginal_s2                125s  ESS=97.3
  mdlm_fs_k1_N100_lam200_edlm_s2                    125s  ESS=95.5
  mdlm_fs_k1_N100_lam200_marginal_s3                122s  ESS=96.1
  mdlm_fs_k1_N100_lam200_edlm_s3                    126s  ESS=95.7
  mdlm_fs_k1_N100_lam200_marginal_s4                128s  ESS=95.3
  mdlm_fs_k1_N100_lam200_edlm_s4                    124s  ESS=98.1
  mdlm_fs_k1_N100_lam200_marginal_s5                123s  ESS=95.7
  mdlm_fs_k1_N100_lam200_edlm_s5                    124s  ESS=98.2
  mdlm_fs_k2_N100_lam200_marginal_s1                 71s  ESS=96.5
  mdlm_fs_k2_N100_lam200_edlm_s1                     71s  ESS=96.1
  mdlm_fs_k2_N100_lam200_marginal_s2                 73s  ESS=97.1
  mdlm_fs_k2_N100_lam200_edlm_s2                     72s  ESS=93.1
  mdlm_fs_k2_N100_lam200_marginal_s3                 71s  ESS=92.3
  mdlm_fs_k2_N100_lam200_edlm_s3                     71s  ESS=95.8
  mdlm_fs_k2_N100_lam200_marginal_s4                 72s  ESS=95
  mdlm_fs_k2_N100_lam200_edlm_s4                     74s  ESS=94.3
  mdlm_fs_k2_N100_lam200_marginal_s5                 70s  ESS=93.1
  mdlm_fs_k2_N100_lam200_edlm_s5                     71s  ESS=92.1
  mdlm_fs_k4_N100_lam200_marginal_s1                 45s  ESS=91.9
  mdlm_fs_k4_N100_lam200_edlm_s1                     46s  ESS=87.2
  mdlm_fs_k4_N100_lam200_marginal_s2                 45s  ESS=88.3
  mdlm_fs_k4_N100_lam200_edlm_s2                     45s  ESS=91.4
  mdlm_fs_k4_N100_lam200_marginal_s3                 45s  ESS=92.1
  mdlm_fs_k4_N100_lam200_edlm_s3                     46s  ESS=92.5
  mdlm_fs_k4_N100_lam200_marginal_s4                 45s  ESS=94.1
  mdlm_fs_k4_N100_lam200_edlm_s4                     45s  ESS=88.5
  mdlm_fs_k4_N100_lam200_marginal_s5                 45s  ESS=95
  mdlm_fs_k4_N100_lam200_edlm_s5                     45s  ESS=92.5
  mdlm_fs_k8_N100_lam200_marginal_s1                 31s  ESS=94.3
  mdlm_fs_k8_N100_lam200_edlm_s1                     32s  ESS=90.1
  mdlm_fs_k8_N100_lam200_marginal_s2                 32s  ESS=89.6
  mdlm_fs_k8_N100_lam200_edlm_s2                     32s  ESS=94.6
  mdlm_fs_k8_N100_lam200_marginal_s3                 32s  ESS=87.9
  mdlm_fs_k8_N100_lam200_edlm_s3                     31s  ESS=92.2
  mdlm_fs_k8_N100_lam200_marginal_s4                 32s  ESS=86.9
  mdlm_fs_k8_N100_lam200_edlm_s4                     32s  ESS=99.2
  mdlm_fs_k8_N100_lam200_marginal_s5                 33s  ESS=87.2
  mdlm_fs_k8_N100_lam200_edlm_s5                     32s  ESS=91.5
=============== N=1000 ===============
  mdlm_fs_k1_N1000_lam200_marginal_s1               667s  ESS=935
  mdlm_fs_k1_N1000_lam200_edlm_s1                   675s  ESS=929
  mdlm_fs_k1_N1000_lam200_marginal_s2               667s  ESS=996
  mdlm_fs_k1_N1000_lam200_edlm_s2                   673s  ESS=977
  mdlm_fs_k1_N1000_lam200_marginal_s3               657s  ESS=962
  mdlm_fs_k1_N1000_lam200_edlm_s3                   661s  ESS=983
  mdlm_fs_k1_N1000_lam200_marginal_s4               663s  ESS=938
  mdlm_fs_k1_N1000_lam200_edlm_s4                   639s  ESS=945
  mdlm_fs_k1_N1000_lam200_marginal_s5               679s  ESS=974
  mdlm_fs_k1_N1000_lam200_edlm_s5                   669s  ESS=985
  mdlm_fs_k2_N1000_lam200_marginal_s1               326s  ESS=975
  mdlm_fs_k2_N1000_lam200_edlm_s1                   331s  ESS=909
  mdlm_fs_k2_N1000_lam200_marginal_s2               334s  ESS=931
  mdlm_fs_k2_N1000_lam200_edlm_s2                   329s  ESS=956
  mdlm_fs_k2_N1000_lam200_marginal_s3               333s  ESS=933
  mdlm_fs_k2_N1000_lam200_edlm_s3                   332s  ESS=955
  mdlm_fs_k2_N1000_lam200_marginal_s4               342s  ESS=918
  mdlm_fs_k2_N1000_lam200_edlm_s4                   333s  ESS=901
  mdlm_fs_k2_N1000_lam200_marginal_s5               339s  ESS=909
  mdlm_fs_k2_N1000_lam200_edlm_s5                   326s  ESS=965
  mdlm_fs_k4_N1000_lam200_marginal_s1               172s  ESS=793
  mdlm_fs_k4_N1000_lam200_edlm_s1                   174s  ESS=845
  mdlm_fs_k4_N1000_lam200_marginal_s2               173s  ESS=878
  mdlm_fs_k4_N1000_lam200_edlm_s2                   176s  ESS=858
  mdlm_fs_k4_N1000_lam200_marginal_s3               170s  ESS=893
  mdlm_fs_k4_N1000_lam200_edlm_s3                   172s  ESS=831
  mdlm_fs_k4_N1000_lam200_marginal_s4               174s  ESS=761
  mdlm_fs_k4_N1000_lam200_edlm_s4                   171s  ESS=851
  mdlm_fs_k4_N1000_lam200_marginal_s5               173s  ESS=869
  mdlm_fs_k4_N1000_lam200_edlm_s5                   173s  ESS=843
  mdlm_fs_k8_N1000_lam200_marginal_s1                99s  ESS=731
  mdlm_fs_k8_N1000_lam200_edlm_s1                   100s  ESS=827
  mdlm_fs_k8_N1000_lam200_marginal_s2               101s  ESS=788
  mdlm_fs_k8_N1000_lam200_edlm_s2                   102s  ESS=739
  mdlm_fs_k8_N1000_lam200_marginal_s3                98s  ESS=666
  mdlm_fs_k8_N1000_lam200_edlm_s3                    98s  ESS=818
  mdlm_fs_k8_N1000_lam200_marginal_s4                95s  ESS=801
  mdlm_fs_k8_N1000_lam200_edlm_s4                    94s  ESS=742
  mdlm_fs_k8_N1000_lam200_marginal_s5                92s  ESS=745
  mdlm_fs_k8_N1000_lam200_edlm_s5                    93s  ESS=809
######## Done at 2026. 08. 26. (수) 06:59:21 KST: 799 csv
