k,N,lam,mode,seed,n_valid,n_uniq,n_small,n_truenovel,ha_mean,uniq_hits0.6,small_hits0.6,truenovel_hits0.6,uniq_hits0.65,small_hits0.65,truenovel_hits0.65
16,1000,0.0,edlm,1,4,4,2,4,9.25,0,0,0,0,0,0
16,1000,0.0,edlm,2,4,4,2,3,10.5,0,0,0,0,0,0
16,1000,0.0,edlm,3,2,2,1,2,10.5,1,0,1,0,0,0
16,1000,0.0,edlm,4,2,2,1,2,9.0,1,0,1,0,0,0
16,1000,0.0,edlm,5,2,2,1,2,10.0,0,0,0,0,0,0
16,1000,0.0,marginal,1,2,2,2,1,7.0,0,0,0,0,0,0
16,1000,0.0,marginal,2,5,5,4,2,8.4,0,0,0,0,0,0
16,1000,0.0,marginal,3,3,3,3,2,7.333333333333333,0,0,0,0,0,0
16,1000,0.0,marginal,4,6,6,5,4,8.666666666666666,1,0,1,0,0,0
16,1000,0.0,marginal,5,4,4,4,3,8.0,0,0,0,0,0,0
16,1000,1000.0,edlm,1,276,276,39,265,11.72463768115942,108,1,107,55,0,55
16,1000,1000.0,edlm,2,272,272,40,267,11.930147058823529,116,1,116,48,0,48
16,1000,1000.0,edlm,3,273,273,44,259,11.750915750915752,97,3,96,44,0,44
16,1000,1000.0,edlm,4,253,253,38,245,11.719367588932807,99,2,98,51,0,51
16,1000,1000.0,edlm,5,294,294,41,287,11.704081632653061,133,4,132,62,0,62
16,1000,1000.0,marginal,1,257,257,26,254,11.945525291828794,97,0,97,49,0,49
16,1000,1000.0,marginal,2,280,279,51,269,11.78136200716846,110,6,108,48,0,48
16,1000,1000.0,marginal,3,268,268,41,262,11.694029850746269,92,0,92,47,0,47
16,1000,1000.0,marginal,4,277,277,38,272,11.678700361010831,102,2,101,50,0,50
16,1000,1000.0,marginal,5,307,307,31,300,12.104234527687296,136,0,136,68,0,68
16,1000,200.0,edlm,1,276,275,39,265,11.727272727272727,108,2,107,55,0,55
16,1000,200.0,edlm,2,272,272,40,267,11.930147058823529,114,1,114,47,0,47
16,1000,200.0,edlm,3,273,273,46,258,11.747252747252746,97,3,96,45,0,45
16,1000,200.0,edlm,4,253,253,39,245,11.699604743083004,97,2,96,51,0,51
16,1000,200.0,edlm,5,294,294,42,288,11.680272108843537,131,2,131,61,0,61
16,1000,200.0,marginal,1,239,239,26,235,11.916317991631798,91,0,91,47,0,47
16,1000,200.0,marginal,2,264,263,50,253,11.806083650190114,102,5,101,45,0,45
16,1000,200.0,marginal,3,252,252,41,245,11.69047619047619,87,0,87,44,0,44
16,1000,200.0,marginal,4,260,260,38,254,11.692307692307692,96,2,95,48,0,48
16,1000,200.0,marginal,5,292,292,31,285,12.092465753424657,126,0,126,61,0,61
16,1000,20.0,edlm,1,258,258,45,246,11.534883720930232,82,2,81,38,0,38
16,1000,20.0,edlm,2,255,255,42,245,11.698039215686274,87,0,87,32,0,32
16,1000,20.0,edlm,3,262,262,51,244,11.576335877862595,69,1,69,29,0,29
16,1000,20.0,edlm,4,238,238,50,224,11.512605042016807,72,0,72,38,0,38
16,1000,20.0,edlm,5,280,280,51,271,11.442857142857143,93,2,93,40,0,40
16,1000,20.0,marginal,1,129,129,21,122,11.62015503875969,38,0,38,20,0,20
16,1000,20.0,marginal,2,132,131,27,124,11.648854961832061,46,0,46,20,0,20
16,1000,20.0,marginal,3,128,128,27,120,11.3984375,35,0,35,16,0,16
16,1000,20.0,marginal,4,131,131,27,126,11.206106870229007,29,0,29,14,0,14
16,1000,20.0,marginal,5,147,147,25,138,12.006802721088436,52,2,51,21,0,21
16,100,0.0,edlm,1,6,6,5,4,7.333333333333333,0,0,0,0,0,0
16,100,0.0,edlm,2,3,3,2,3,9.333333333333334,1,1,1,0,0,0
16,100,0.0,edlm,3,1,1,1,1,8.0,0,0,0,0,0,0
16,100,0.0,edlm,4,5,5,2,4,9.2,1,0,1,0,0,0
16,100,0.0,edlm,5,3,3,2,3,9.333333333333334,0,0,0,0,0,0
16,100,0.0,marginal,1,2,2,0,2,11.0,0,0,0,0,0,0
16,100,0.0,marginal,2,4,4,2,4,9.5,1,0,1,0,0,0
16,100,0.0,marginal,3,1,1,1,0,9.0,0,0,0,0,0,0
16,100,0.0,marginal,4,2,2,1,2,9.0,0,0,0,0,0,0
16,100,0.0,marginal,5,3,3,2,2,9.0,0,0,0,0,0,0
16,100,1000.0,edlm,1,73,73,13,70,11.356164383561644,18,1,18,3,0,3
16,100,1000.0,edlm,2,66,66,15,61,11.318181818181818,14,3,13,5,0,5
16,100,1000.0,edlm,3,64,64,22,60,10.859375,11,1,11,3,0,3
16,100,1000.0,edlm,4,79,79,11,76,11.278481012658228,15,0,15,7,0,7
16,100,1000.0,edlm,5,61,61,14,57,10.655737704918034,13,2,13,2,0,2
16,100,1000.0,marginal,1,67,67,12,65,11.402985074626866,12,2,12,4,0,4
16,100,1000.0,marginal,2,76,76,13,73,11.263157894736842,14,0,14,9,0,9
