generated 2026-08-05 11:29
TAG                                                   VALID   UNIQ  NOVEL     QED  NOVQED
s1024_st150_ours_exact_N100_lam1000_win0.0-1.0          998    956    190   0.542   0.531
s1024_st150_ours_exact_N100_lam100_win0.0-1.0          1011    995    211   0.535   0.524
s1024_st150_ours_exact_N100_lam5000_win0.0-1.0         1002    958    208   0.541   0.531
s1024_st150_ours_exact_N100_lam500_win0.0-1.0           998    963    193   0.540   0.531
s1024_st150_ours_exact_N10_lam5000_win0.0-1.0           995    978    199   0.516   0.500
s1024_st150_ours_exact_N300_lam5000_win0.0-1.0          985    934    250   0.542   0.538
s1024_st150_ours_exact_N500_lam1000_win0.0-0.75         991    956    280   0.542   0.536
s1024_st150_ours_exact_N500_lam5000_win0.0-1.0          994    928    252   0.546   0.543
s1024_st150_ours_exact_N50_lam5000_win0.0-1.0          1011    976    193   0.536   0.530
s1024_st150_ours_marginal_N100_lam5000_win0.0-1.0      1005    950    222   0.540   0.534
s1024_st150_ours_marginal_N10_lam5000_win0.0-1.0        992    986    219   0.519   0.507
s1024_st150_ours_marginal_N300_lam5000_win0.0-1.0       996    937    248   0.543   0.533
s1024_st150_ours_marginal_N500_lam1000_win0.0-0.75      980    937    236   0.539   0.534
s1024_st150_ours_marginal_N500_lam5000_win0.0-1.0       984    931    254   0.545   0.537
s1024_st150_ours_marginal_N50_lam5000_win0.0-1.0       1001    981    210   0.533   0.521
s1024_st150_unguided                                   1015   1013    165   0.464   0.459
